Category,Identifier/Context,Bedrock: quake-rerelease-qcquakec_defs.qc.txt,OLD_defs.qc.txt,Fetteque_Latest_Revision.qc (incorporating OLD_defs & IT_SLOT changes)
Builtin,"setcolor","(Absent)","void setcolor( entity client, float color ) = #401;","void setcolor( entity client, float color_val ) = #401; //##FQXCUSTOM //##FETTE// From OLD_defs, Rerelease does not have this. Parameter name from OLD_defs."
Builtin,"prompt","(Absent)","void prompt( entity client, string text, float numChoices ) = #0:ex_prompt;","void prompt( entity client, string text_msg, float numChoices ) = #0:ex_prompt; //##FQXCUSTOM //##FETTE// From OLD_defs. Parameter names from OLD_defs."
Builtin,"promptchoice","(Absent)","void promptchoice( entity client, string text, float impulse ) = #0:ex_promptchoice;","void promptchoice( entity client, string text_msg, float impulse_val ) = #0:ex_promptchoice; //##FQXCUSTOM //##FETTE// From OLD_defs. Parameter names from OLD_defs."
Builtin,"clearprompt","(Absent)","void clearprompt( entity client ) = #0:ex_clearprompt;","void clearprompt( entity client ) = #0:ex_clearprompt; //##FETTE// From OLD_defs."
Builtin,"cvar_string","(Absent)","string(string cvar_name) cvar_string    = #0:ex_cvar_string;","string(string cvar_name) cvar_string    = #0:ex_cvar_string;"
Builtin,"strcat","(Absent)","string(string s1, string s2, ...) strcat = #0:ex_strcat;","string(string s1, string s2, ...) strcat = #0:ex_strcat;"
Builtin,"strlen","(Absent)","float(string s) strlen                  = #0:ex_strlen;","float(string s) strlen                  = #0:ex_strlen;"
Builtin,"substring","(Absent)","string(string s, float start_index, float length) substring = #0:ex_substring;","string(string s, float start_index, float length_val) substring = #0:ex_substring; //##FQXCUSTOM //##FETTE// OLD_defs uses length. Rerelease not listing these."
Builtin,"stof","(Absent)","float(string s) stof                    = #0:ex_stof;","float(string s) stof                    = #0:ex_stof;"
Forward Declaration,"W_FireSpikes","(Not present as forward declaration)","(Not present as forward declaration, but W_FireSpikes is a standard func)","void(float ox) W_FireSpikes; //##FQXCUSTOM //##FETTE// OLD_defs does not have this param. Latest defs.qc.txt indicates this is custom."
Forward Declaration,"spawn_tdeath","(Not present as forward declaration)","(Not present as forward declaration)","void(vector org, entity death_owner) spawn_tdeath; //##FQXCUSTOM //##FETTE// OLD_defs has no param `death_owner`. Rerelease doesn't list spawn_tdeath. Assuming this is your custom version."
Forward Declaration,"W_BestWeapon","(Not present as forward declaration)","(Not present as forward declaration, but W_BestWeapon is standard func)","float() W_BestWeapon;        //##FQXCUSTOM //##FETTE// Your latest defs.qc.txt indicates this is custom to return IT_SLOT_*. Standard returns void or weapon IT flag."
Forward Declaration,"AM_InitRecoilSystem etc. (New Weapon System Forward Decls)","(Absent)","(Absent)","void() AM_InitRecoilSystem; (and other new AM_*, W_am_* forward decls)"
